date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:47	42266/42266	---M--	200	added ('OK')	image/jpeg	etag:%22d086c74697a9d31:0%22	https://www.allcooper.com/portals/0/Contact-Us.jpg	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/portals/0/Contact-Us.jpg	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:48	674/674	---M--	200	added ('OK')	image/png	etag:%2289974b6c85b6d31:0%22	https://www.allcooper.com/DesktopModules/DNNGo_PowerForms/Resource/images/no.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_PowerForms/Resource/images/no.png	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:51	92123/92123	---M-Z	200	added ('OK')	application/javascript	etag:%221c3bc7610ddd31:0%22	https://www.allcooper.com/Portals/_default/skins/allcooper/scripts/script.js	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Portals/_default/skins/allcooper/scripts/script.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:51	4763/4763	---M-Z	200	added ('OK')	application/javascript	etag:%22e459b4133bfd21:0%22	https://www.allcooper.com/Portals/_default/skins/allcooper/scripts/custom.js	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/Portals/_default/skins/allcooper/scripts/custom.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:53	11615/11615	---M-Z	200	added ('OK')	application/javascript	etag:%2235dc651e8bfd21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_Megamenu/Resource/js/dnngo-megamenu.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_Megamenu/Resource/js/dnngo-megamenu23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:54	2645/2645	---M-Z	200	added ('OK')	application/javascript	etag:%22aefbf4cc3088d21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_GoMenu/Resource/js/accordion.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/DesktopModules/DNNGo_GoMenu/Resource/js/accordion23e0.js	(from https://www.allcooper.com/contact/enquiry-form.aspx)
01:58:54	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Nov%202018%2020:28:55%20GMT	https://www.allcooper.com/contact/POST	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/contact/POST.26.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
01:58:54	0/-1	---M--	301	error ('')			https://www.allcooper.com/contact/POST	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/contact/POST.27.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
01:58:56	297/297	---M--	200	added ('OK')	image/png	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/images/pin-icn.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/images/pin-icn.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
01:58:57	1105/1105	---M--	200	added ('OK')	image/png	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/images/helpI-icn-grey.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/images/helpI-icn-grey.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
01:58:58	1876/1876	---M--	200	added ('OK')	image/png	etag:%22028978197f9d11:0%22	https://www.allcooper.com/images/checkbox.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/images/checkbox.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
01:59:00	2465/2465	---M--	200	added ('OK')	image/png	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/images/radiobutton.png	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/Contact/www.allcooper.com/images/radiobutton.png	(from https://www.allcooper.com/Resources/Shared/stylesheets/dnndefault/7.0.0/default.css?cdv=56)
